id,camera_number,original_id,latitude,longitude,utm_x,utm_y,street,intersection,neighborhood,camera_type,status,status_id,organizational_unit,installation_date,is_active,is_public,is_santos_aovivo,created_at,updated_at
361,CAM3067,3580,-23.96472906,-46.31366922,366341.00,7349056.00,Rua Professor Torres Homem,Avenida Senador Dantas,Embaré,Fixa Digital HD,Em Funcionamento,1,,2024-12-03,true,true,true,2025-11-18 18:18:48.82408+00,2025-11-18 18:32:21.005989+00
362,CAM3068,3579,-23.96474569,-46.31383645,366324.00,7349054.00,Rua Professor Torres Homem,Avenida Senador Dantas,Embaré,Fixa Digital HD,Em Funcionamento,1,,2024-12-03,true,true,true,2025-11-18 18:18:49.071864+00,2025-11-18 18:32:21.005989+00
363,CAM3070,3600,-23.97055046,-46.30878485,366844.00,7348416.00,Avenida Doutor Pedro Lessa,Avenida Almirante Cochrane,Embaré,Fixa Digital HD,Em Funcionamento,1,,2025-01-03,true,true,true,2025-11-18 18:18:49.311524+00,2025-11-18 18:32:21.005989+00
364,CAM3071,3602,-23.97050598,-46.30870578,366852.00,7348421.00,Avenida Doutor Pedro Lessa,Avenida Almirante Cochrane,Aparecida,Fixa Digital HD,Em Funcionamento,1,,2025-01-03,true,true,true,2025-11-18 18:18:49.63627+00,2025-11-18 18:32:21.005989+00
365,CAM3073,3601,-23.97073064,-46.30883581,366839.00,7348396.00,Avenida Doutor Pedro Lessa,Avenida Almirante Cochrane,Embaré,Fixa Digital HD,Em Funcionamento,1,,2025-01-03,true,true,true,2025-11-18 18:18:49.877364+00,2025-11-18 18:32:21.005989+00
366,CAM3074,3603,-23.97073047,-46.30885547,366837.00,7348396.00,Avenida Doutor Pedro Lessa,Avenida Almirante Cochrane,Aparecida,Fixa Digital HD,Em Funcionamento,1,,2025-01-03,true,true,true,2025-11-18 18:18:50.129353+00,2025-11-18 18:32:21.005989+00
367,CAM3076,3559,-23.96644050,-46.31944547,365755.00,7348861.00,Avenida Siqueira Campos,Rua Bento de Abreu,Boqueirão,Fixa Digital HD,Em Funcionamento,1,,2025-01-08,true,true,true,2025-11-18 18:18:50.374468+00,2025-11-18 18:32:21.005989+00
368,CAM3077,3561,-23.96644953,-46.31944556,365755.00,7348860.00,Avenida Siqueira Campos,Rua Bento de Abreu,Boqueirão,Fixa Digital HD,Em Funcionamento,1,,2025-01-08,true,true,true,2025-11-18 18:18:50.662254+00,2025-11-18 18:32:21.005989+00
369,CAM3079,3556,-23.96436629,-46.32121292,365573.00,7349089.00,Rua Lobo Vianna,Rua Oswaldo Cruz,Boqueirão,Fixa Digital HD,Em Funcionamento,1,,2024-12-17,true,true,true,2025-11-18 18:18:50.904454+00,2025-11-18 18:32:21.005989+00
370,CAM3080,3557,-23.96446494,-46.32129254,365565.00,7349078.00,Rua Lobo Vianna,Rua Oswaldo Cruz,Boqueirão,Fixa Digital HD,Em Funcionamento,1,,2024-12-17,true,true,true,2025-11-18 18:18:51.169715+00,2025-11-18 18:32:21.005989+00
371,CAM3081,7537,-23.96432156,-46.32116333,365578.00,7349094.00,Rua Lobo Vianna,Rua Oswaldo Cruz,Boqueirão,Fixa Digital HD,Em Funcionamento,1,,2024-12-17,true,true,true,2025-11-18 18:18:51.413709+00,2025-11-18 18:32:21.005989+00
372,CAM3082,7508,-23.96052947,-46.33047998,364626.00,7349505.00,Rua Goiás,Rua Doutor Assis Corrêa,Gonzaga,Fixa Digital HD,Em Funcionamento,1,,2024-11-26,true,true,true,2025-11-18 18:18:51.666513+00,2025-11-18 18:32:21.005989+00
373,CAM3084,7533,-23.97058254,-46.32294702,365403.00,7348399.00,Rua Oswaldo Cruz,Avenida Doutor Epitácio Pessoa,Boqueirão,Fixa Digital HD,Em Funcionamento,1,,2024-12-17,true,true,true,2025-11-18 18:18:51.916292+00,2025-11-18 18:32:21.005989+00
374,CAM3085,7534,-23.97058245,-46.32295685,365402.00,7348399.00,Rua Oswaldo Cruz,Avenida Doutor Epitácio Pessoa,Boqueirão,Fixa Digital HD,Em Funcionamento,1,,2024-12-17,true,true,true,2025-11-18 18:18:52.209381+00,2025-11-18 18:32:21.005989+00
